Part Name,Material Composition,Age (years),Condition,Location,Manufacturer,Aircraft Model,Potential Use Cases,New Parts Carbon Footprint (kg CO2e),Recycled Parts Carbon Footprint (kg CO2e),Water Usage - New Parts (liters),Water Usage - Recycled Parts (liters),Landfill Waste - New Parts (kg),Landfill Waste - Recycled Parts (kg),Energy Consumption - New Parts (kWh),Energy Consumption - Recycled Parts (kWh),Recycling Rate (%),Toxicity Score - New Parts,Toxicity Score - Recycled Parts,Remanufacturing Potential,Life Cycle Assessment,Renewable Material Content (%),Carbon Footprint Saved (kg CO2e),Water Usage Saved (liters),Landfill Waste Saved (kg),Energy Consumption Saved (kWh),Toxicity Score Difference,Remanufacturing Potential (%),Life Cycle Assessment Score
Landing Gear,Aluminum,21,Used,Australia,Boeing,737,Furniture,939,37,2880,426,926,99,1864,466,67.29233298,5.659504464,3.94044877,0.2948177294,34.19016329,28.55222593,902,2454,827,1398,1.719055694,29.48177294,34.19016329
Engine,Aluminum,42,New,North America,Boeing,Citation X,Furniture,527,109,9984,297,374,187,636,116,83.53422696,2.290754381,3.934293117,0.2363133462,26.12860845,50.7357268,418,9687,187,520,-1.643538736,23.63133462,26.12860845
Avionics,Titanium,11,Used,Africa,Boeing,Citation X,Art Installations,337,46,3902,962,306,117,1763,455,50.89648382,9.446200564,4.340929879,0.1485339559,12.8530375,85.99782555,291,2940,189,1308,5.105270684,14.85339559,12.8530375
Avionics,Steel,48,Used,Africa,Embraer,737,Building Materials,480,81,6010,895,990,187,1989,484,83.05698201,3.471216809,2.397874692,0.3989851335,34.96474455,35.71235851,399,5115,803,1505,1.073342117,39.89851335,34.96474455
Engine,Steel,7,Used,South America,Boeing,737,Aircraft Maintenance,379,109,6326,848,787,118,3651,133,64.34217202,4.808954366,3.593076594,0.8154035381,47.17494051,64.94716914,270,5478,669,3518,1.215877773,81.54035381,47.17494051
Landing Gear,Aluminum,9,Used,Europe,Bombardier,Citation X,Automotive Components,648,167,2719,809,290,42,1381,191,57.56489155,8.610588649,3.409724585,0.613621628,98.12751296,39.03923846,481,1910,248,1190,5.200864065,61.3621628,98.12751296
Engine,Aluminum,26,New,Australia,Bombardier,737,Automotive Components,944,192,5048,391,652,78,4183,119,62.36111641,3.145238448,4.887436622,0.2220088232,2.310089052,77.66644793,752,4657,574,4064,-1.742198174,22.20088232,2.310089052
Landing Gear,Titanium,3,New,Australia,Cessna,A320,Automotive Components,940,34,7560,611,246,93,3000,417,55.04313389,6.890005828,3.279904313,0.9891847909,16.0467517,55.26581185,906,6949,153,2583,3.610101514,98.91847909,16.0467517
Landing Gear,Composite,35,New,South America,Gulfstream,E175,Art Installations,924,53,8824,540,204,26,819,135,92.21839548,7.324839635,2.067979896,0.8723307206,76.9233714,87.16427008,871,8284,178,684,5.256859739,87.23307206,76.9233714
Engine,Titanium,45,Used,Europe,Bombardier,A320,Furniture,180,57,2278,611,396,123,3426,170,82.35858042,5.844389385,2.219129655,0.3473901896,90.80916235,64.20665935,123,1667,273,3256,3.62525973,34.73901896,90.80916235
